Died,Passenger_Cat_2nd_class,Passenger_Cat_3rd_class,Passenger_Cat_crew,Age_Cat_child,Gender_male
1,0,1,0,0,1
1,0,0,1,0,1
1,0,1,0,0,0
1,0,0,1,0,1
1,0,0,1,0,1
1,1,0,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
0,0,1,0,0,1
1,0,1,0,1,1
1,0,1,0,1,0
1,0,1,0,0,1
1,0,1,0,1,0
0,0,0,0,0,0
1,0,1,0,0,1
1,1,0,0,0,0
0,0,0,1,0,1
1,0,1,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,1,0,0,0,1
0,1,0,0,0,1
1,0,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,0
1,0,0,1,0,1
1,0,1,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,1,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
1,0,1,0,0,1
1,0,0,1,0,1
1,0,0,0,0,1
0,0,1,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,0
0,0,0,1,0,1
1,0,1,0,0,1
1,1,0,0,0,1
0,0,0,0,0,0
0,1,0,0,1,1
0,0,1,0,0,1
1,0,1,0,0,1
1,1,0,0,0,1
1,1,0,0,0,1
1,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,0
1,0,1,0,0,1
1,0,1,0,0,1
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
0,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,1
1,0,1,0,0,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,0,1,0,1
1,1,0,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,0
1,0,0,1,0,1
1,0,0,1,0,1
1,0,0,1,0,1
0,0,0,0,0,1
0,0,0,1,0,1
1,0,1,0,0,0
1,0,0,1,0,1
0,0,0,1,0,1
1,0,0,1,0,1
0,0,0,0,0,0
1,0,1,0,0,1
0,0,0,1,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,0,1,0,0
0,0,1,0,1,0
0,1,0,0,0,0
0,0,0,1,0,1
1,0,1,0,1,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,1,1
1,0,0,0,0,1
1,0,1,0,1,1
1,0,0,1,0,1
1,0,1,0,0,0
1,0,0,1,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,0,1,0,1
0,0,0,0,0,1
1,0,0,1,0,1
1,1,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,0
1,0,0,1,0,0
1,1,0,0,0,1
0,0,0,0,0,0
0,0,1,0,0,0
1,0,1,0,0,1
1,0,1,0,0,1
0,0,1,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
0,0,1,0,0,1
0,0,0,1,0,1
